reviewed,time,id,url,markets,review_label,trade_relevance,confidence,review_method,review_reason,price_curve_note,current_kind,semantic_override_kind,semantic_reason,market_context,text
yes,2024-11-01T11:59:02.168000Z,1852319434062401885,https://x.com/saylor/status/1852319434062401885,,irrelevant_reply,none,low,semantic_irrelevant_full_pass,短回复/社交互动，无法指向 Strategy 当期买或不买 BTC,,,,,[],"Congratulations, Simon 🚀"
yes,2024-11-01T12:11:30.389000Z,1852322572328673657,https://x.com/saylor/status/1852322572328673657,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],We only have winners on Team #Bitcoin . pic.twitter.com/7RjYmG0q8l
yes,2024-11-01T20:28:56.536000Z,1852447756142493740,https://x.com/saylor/status/1852447756142493740,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],$MSTR is in an exclusive relationship with $BTC . pic.twitter.com/JNOIz98iuO
yes,2024-11-02T13:20:52.717000Z,1852702418263269416,https://x.com/saylor/status/1852702418263269416,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Smart money’s on #Bitcoin . pic.twitter.com/cObFMu95OT
yes,2024-11-03T12:42:56.569000Z,1853055259272204559,https://x.com/saylor/status/1853055259272204559,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],#Bitcoin is the ₿etter Idea pic.twitter.com/OhqoIIvxUb
yes,2024-11-04T13:10:09.752000Z,1853424497203777541,https://x.com/saylor/status/1853424497203777541,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Vote for #Bitcoin pic.twitter.com/O4mDAEp5gK
yes,2024-11-04T18:00:03.247000Z,1853497450809487565,https://x.com/saylor/status/1853497450809487565,,context_policy,context,low,semantic_context_full_pass,政策/宏观采用叙事，非 Strategy 当期买入信号,,context,,,[],The United States needs a Strategic #Bitcoin Reserve. https://t.co/br7c4NuKEj
yes,2024-11-05T13:00:03.020000Z,1853784340250984865,https://x.com/saylor/status/1853784340250984865,,context_policy,context,low,semantic_context_full_pass,政策/宏观采用叙事，非 Strategy 当期买入信号,,context,,,[],Make Washington the #Bitcoin Capitol pic.twitter.com/8hBcbdjleb
yes,2024-11-06T11:37:56.696000Z,1854126065616142742,https://x.com/saylor/status/1854126065616142742,,context_policy,context,low,semantic_context_full_pass,政策/宏观采用叙事，非 Strategy 当期买入信号,,context,,,[],We have a #Bitcoin President. pic.twitter.com/HUACTe1XPI
yes,2024-11-06T18:11:46.811000Z,1854225177501934050,https://x.com/saylor/status/1854225177501934050,,context_policy,context,low,semantic_context_full_pass,政策/宏观采用叙事，非 Strategy 当期买入信号,,context,,,[],The United States needs a Strategic #Bitcoin Reserve. https://t.co/ZKy3WMbuaz
yes,2024-11-07T12:43:09.436000Z,1854504864702734418,https://x.com/saylor/status/1854504864702734418,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],"$MSTR is a Bitcoin Treasury Company, backed by $BTC Reserves. pic.twitter.com/e8eAkx4eD6"
yes,2024-11-07T17:58:40.103000Z,1854584265675358458,https://x.com/saylor/status/1854584265675358458,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Still Betting on #Bitcoin pic.twitter.com/PvIiZ2mCy1
yes,2024-11-07T22:21:17.723000Z,1854650357923639387,https://x.com/saylor/status/1854650357923639387,,irrelevant_reply,none,low,semantic_irrelevant_full_pass,短回复/社交互动，无法指向 Strategy 当期买或不买 BTC,,,,,[],🥇
yes,2024-11-08T13:10:40.684000Z,1854874178404413918,https://x.com/saylor/status/1854874178404413918,,irrelevant_or_unrelated,none,low,semantic_irrelevant_full_pass,与买 BTC 市场无直接关系,,,,,[],Ready to Go? pic.twitter.com/JjgXV7dg7C
yes,2024-11-08T18:55:54.645000Z,1854961059053883499,https://x.com/saylor/status/1854961059053883499,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],Nations will adopt #Bitcoin as a Treasury Reserve Asset. pic.twitter.com/bWOgCTpvJN
yes,2024-11-09T12:45:31.074000Z,1855230234506715164,https://x.com/saylor/status/1855230234506715164,,irrelevant_or_unrelated,none,low,semantic_irrelevant_full_pass,与买 BTC 市场无直接关系,,,,,[],"""If we don't have free speech, then we just don't have a free country."" - @realDonaldTrump pic.twitter.com/Mw9x6GzGxD"
yes,2024-11-09T12:48:49.636000Z,1855231067336114288,https://x.com/saylor/status/1855231067336114288,,irrelevant_or_unrelated,none,low,semantic_irrelevant_full_pass,与买 BTC 市场无直接关系,,,,,[],"If the freedom of speech is taken away then dumb and silent we may be led, like sheep to the slaughter."
yes,2024-11-09T12:59:39.803000Z,1855233794334191763,https://x.com/saylor/status/1855233794334191763,,irrelevant_reply,none,low,semantic_irrelevant_full_pass,短回复/社交互动，无法指向 Strategy 当期买或不买 BTC,,,,,[],🥇
yes,2024-11-09T13:20:21.046000Z,1855239000484728992,https://x.com/saylor/status/1855239000484728992,,context_bitcoin_general,context,low,semantic_context_full_pass,比特币布道或一般性 bullish 内容，缺少 Strategy 当期买入指向,,context,,,[],You do not sell your #Bitcoin .
