market_idx,title_start,title_end,slug,outcome,move_time,move_pp,from_price,to_price,size,explanation,near_chart_events,near_actionable_tweets,near_context_tweets,review_note
5,2024-12-23,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-dec-23,YES,2024-12-29T13:01:42Z,33.6,0.4,0.7359,1144.26,near_actionable_saylor_signal,2024-12-29T13:01:32Z hint_yes_strong 强买入暗示: Disconcerting blue lines on https://t.co/Bx3917zMqi . pic.twitter.com/xPl4GTKU3E,2024-12-29T13:01:32.795000Z hint_yes_strong Disconcerting blue lines on https://t.co/Bx3917zMqi . pic.twitter.com/xPl4GTKU3E,,90分钟内有可行动/弱方向 Saylor 信号，价格突变大概率是推文或确认被交易。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-13T21:40:13Z,55.0,0.37,0.92,1.15,near_market_open_microstructure,,,,发生在开盘4小时内，优先按开盘流动性/盘口重估处理。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-13T23:12:33Z,43.9,0.3,0.7393,505.0,near_market_open_microstructure,,,,发生在开盘4小时内，优先按开盘流动性/盘口重估处理。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-19T13:20:06Z,26.0,0.23,0.49,39.21,no_nearby_saylor_signal_likely_orderbook_or_liquidity,,,,未找到邻近 Saylor 信号，且成交规模较小，偏薄流动性表观跳动。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-19T14:11:42Z,32.5,0.415,0.74,100.0,no_nearby_saylor_signal_likely_orderbook_or_liquidity,,,,未找到邻近 Saylor 信号，且成交规模较小，偏薄流动性表观跳动。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-20T13:08:44Z,51.8,0.2016,0.72,10.0,context_tweets_only_no_directional_signal,,,"2025-01-20T13:20:21.725000Z context_policy Switching to orange dots to celebrate the Inauguration of @realDonaldTrump , The 1st Bitcoin President! pic.twitter.com/5dxCVwKSFR",90分钟内只有融资、政策、泛BTC或历史背景帖；能解释市场注意力，但不是买入/不买信号。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-20T13:09:38Z,-32.0,0.72,0.4,25.0,context_tweets_only_no_directional_signal,,,"2025-01-20T13:20:21.725000Z context_policy Switching to orange dots to celebrate the Inauguration of @realDonaldTrump , The 1st Bitcoin President! pic.twitter.com/5dxCVwKSFR",90分钟内只有融资、政策、泛BTC或历史背景帖；能解释市场注意力，但不是买入/不买信号。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-20T13:13:54Z,31.0,0.16,0.47,8.0,context_tweets_only_no_directional_signal,,,"2025-01-20T13:20:21.725000Z context_policy Switching to orange dots to celebrate the Inauguration of @realDonaldTrump , The 1st Bitcoin President! pic.twitter.com/5dxCVwKSFR",90分钟内只有融资、政策、泛BTC或历史背景帖；能解释市场注意力，但不是买入/不买信号。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-20T13:14:00Z,-31.9,0.47,0.151,4663.08,context_tweets_only_no_directional_signal,,,"2025-01-20T13:20:21.725000Z context_policy Switching to orange dots to celebrate the Inauguration of @realDonaldTrump , The 1st Bitcoin President! pic.twitter.com/5dxCVwKSFR",90分钟内只有融资、政策、泛BTC或历史背景帖；能解释市场注意力，但不是买入/不买信号。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-20T13:58:35Z,38.8,0.3287,0.7166,2723.03,context_tweets_only_no_directional_signal,,,"2025-01-20T13:20:21.725000Z context_policy Switching to orange dots to celebrate the Inauguration of @realDonaldTrump , The 1st Bitcoin President! pic.twitter.com/5dxCVwKSFR",90分钟内只有融资、政策、泛BTC或历史背景帖；能解释市场注意力，但不是买入/不买信号。
8,2025-01-13,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration,NO,2025-01-20T14:06:01Z,-26.1,0.5,0.2387,160.0,context_tweets_only_no_directional_signal,,,"2025-01-20T13:20:21.725000Z context_policy Switching to orange dots to celebrate the Inauguration of @realDonaldTrump , The 1st Bitcoin President! pic.twitter.com/5dxCVwKSFR",90分钟内只有融资、政策、泛BTC或历史背景帖；能解释市场注意力，但不是买入/不买信号。
11,2025-01-28,2025-02-03,will-microstrategy-purchase-more-bitcoin-by-monday,NO,2025-02-02T13:46:00Z,-30.4,0.42,0.1158,5577.34,context_tweets_only_no_directional_signal,,,2025-02-02T13:36:40.292000Z context_bitcoin_general Never sell your Bitcoin.,90分钟内只有融资、政策、泛BTC或历史背景帖；能解释市场注意力，但不是买入/不买信号。
11,2025-01-28,2025-02-03,will-microstrategy-purchase-more-bitcoin-by-monday,NO,2025-02-02T13:47:06Z,29.0,0.1,0.39,89.65,context_tweets_only_no_directional_signal,,,2025-02-02T13:36:40.292000Z context_bitcoin_general Never sell your Bitcoin.,90分钟内只有融资、政策、泛BTC或历史背景帖；能解释市场注意力，但不是买入/不买信号。
12,2025-02-04,2025-02-05,will-microstrategy-purchase-more-bitcoin-by-wednesday,NO,2025-02-04T21:43:57Z,-41.0,0.5,0.09,10.99,near_market_open_microstructure,,,,发生在开盘4小时内，优先按开盘流动性/盘口重估处理。
12,2025-02-04,2025-02-05,will-microstrategy-purchase-more-bitcoin-by-wednesday,NO,2025-02-05T00:35:18Z,26.8,0.09,0.3583,6560.0,near_market_open_microstructure,,,,发生在开盘4小时内，优先按开盘流动性/盘口重估处理。
13,2025-02-04,2025-02-10,will-microstrategy-purchase-bitcoin-feb-4-10,YES,2025-02-09T14:39:05Z,61.5,0.3,0.9154,3771.92,near_actionable_saylor_signal,2025-02-09T14:38:57Z hint_yes_strong 强买入暗示: Death to the blue lines. Long live the green dots. pic.twitter.com/SOtFHRoykd,2025-02-09T14:38:57.826000Z hint_yes_strong Death to the blue lines. Long live the green dots. pic.twitter.com/SOtFHRoykd,2025-02-09T14:59:40.983000Z context_bitcoin_general Institutional acceptance of Bitcoin is accelerating.,90分钟内有可行动/弱方向 Saylor 信号，价格突变大概率是推文或确认被交易。
