id,kind,confidence,reason
1881330929656005101,context,high,"人工复核降级：Switching to orange dots 是为就职典礼切换图表/视觉颜色，不是新增点或买入暗示；市场曾误读但不应作为买入信号"
1863206708366995675,hint_yes_strong,high,"SaylorTracker 图表暗示：blue-green imbalance，语义是图上缺新增买入点"
1873353661537284211,hint_yes_strong,high,"SaylorTracker 图表暗示：disconcerting blue lines，语义是当前图形不应只有蓝线/缺新增点"
1875908450678722991,hint_yes_strong,high,"SaylorTracker 图表暗示：not quite right，随后价格从急跌区间快速回拉，语义是图上未反映新增买入"
1888598467729150282,hint_yes_strong,high,"图表暗示：Death to the blue lines / Long live the green dots，强烈指向新增买入点"
1893660529131974865,hint_yes_strong,high,"语义暗示：what I got done last week 尚未反映，结合次日大额买入确认，指向上周已完成买入"
1913933911379378484,hint_yes_strong,high,"图表暗示：Insufficient Orange，语义是 orange/buying 图上不足"
1919027732140204508,hint_yes_strong,high,"图表暗示：Too much blue, not enough orange，语义是缺新增买入/orange"
1921535991002579297,hint_yes_strong,high,"图表暗示：Connect the Dots，语义指向新增点位"
1931348180072808534,hint_yes_strong,medium,"Orange 系列强暗示：Proof of Orange，通常被市场解读为新增买入相关"
1931683081225748528,hint_yes_strong,high,"Orange 系列强暗示：Send more Orange，语义是需要更多买入点"
1934220313405100289,hint_yes_strong,high,"Dots 系列强暗示：Bigger Dots are Better，语义指向新增/更大买入点"
1946549962000523547,hint_yes_strong,medium,"非模板工作暗示：Working this Weekend，结合随后买入确认，语义是周末仍在推进 Strategy 交易"
1918353617477911034,hint_yes_weak,medium,"人工复核降级：Always ₿e Stacking 与买入主题相关，但没有 Strategy 当期交易、dots 或时间锚"
1944004665114345566,hint_yes_weak,medium,"人工复核降级：The Future is Orange 属于 orange 叙事/梗，相关但不构成强买入暗示"
1949795748192596034,hint_yes_weak,medium,"人工复核降级：Amplify the Orange 属于 orange 叙事/梗，相关但不构成强买入暗示"
1961337174801940785,hint_yes_weak,medium,"人工复核降级：The Future is Orange 属于 orange 叙事/梗，相关但不构成强买入暗示"
1966485284691882219,hint_yes_weak,medium,"人工复核降级：The Future is Orange 属于 orange 叙事/梗，相关但不构成强买入暗示"
1969738824965079419,hint_yes_strong,medium,"Orange dots 系列：go up and to the right，指向新增买入点持续增加"
1972280039208304713,hint_yes_weak,medium,"人工复核降级：Always ₿e Stacking 与买入主题相关，但没有 Strategy 当期交易、dots 或时间锚"
1972998912069038211,hint_yes_weak,medium,"人工复核降级：Orange is Coming 有方向性但语义太泛，作为弱买入/市场注意力信号处理"
1995119235194855696,hint_yes_strong,high,"Green dots 系列：What if we start adding green dots，语义是开始新增买入点"
1984963690609688899,hint_yes_weak,medium,"人工复核降级：Orange is the color of November 属于 orange 叙事/梗，相关但不构成强买入暗示"
2002750945357435383,hint_yes_strong,medium,"Dots 系列：Green Dots beget Orange Dots，语义是点位延续/新增"
2005272369791955273,hint_yes_weak,medium,"人工复核降级：Back to Orange 与买入主题相关，但没有 dots/work/当期交易指向"
2020486871394992570,hint_yes_strong,medium,"Orange dots 系列：Orange Dots Matter，语义偏新增买入点提示"
2027037317337412040,hint_yes_weak,medium,"人工复核降级：Need a bigger orange bag 与 orange/stacking 相关，但不是明确新增 dots 或 Strategy 买入"
2033148137678704725,hint_yes_strong,medium,"Orange dots 系列：Stretch the Orange Dots，语义偏新增/拉长买入点"
2042221824126144607,hint_yes_weak,medium,"人工复核降级：Still stacking 与买入主题相关，但没有 Strategy 当期交易、dots 或时间锚"
2045969963869945893,hint_yes_weak,medium,"人工复核降级：Incoming... 有市场注意力价值，但文本本身未说明 incoming 的对象，降为弱买入"
2047652666080125235,hint_yes_weak,medium,"人工复核降级：The Future is Orange 属于 orange 叙事/梗，相关但不构成强买入暗示"
2050927636814168433,hint_no_strong,high,"明确不买：No buys this week，并说明 next week 再工作"
2053436344286769483,hint_yes_strong,high,"明确反转工作暗示：Back to work，承接前一周 no buys，指向本周恢复买入"
2012874594613416217,hint_yes_weak,medium,"人工复核升级：Bigger Orange 属于 orange 图像/梗的弱买入暗示，且分钟级价格快速上冲；但缺少 dots/Strategy 买入字样，后验为误导/假阳性"
1939293144014606543,hint_yes_strong,high,"人工复核升级：这条文本本身是泛 BTC 加仓语义，但配图被多家报道确认为 Strategy/SaylorTracker portfolio tracker，橙点代表买入点；Sunday tracker 配图 + bought more 语义在历史上等同于次日买入披露前的强提示，且该推文后约 10 秒市场从约 0.968 跳到 0.994"
