market_idx,category,title_start,title_end,slug,market_question,market_action,market_outcome,market_open,event_time,event_kind,event_label,reason_or_source,price_before,price_5m,price_30m,url
1,precursor,2024-11-19,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.735,2024-11-21T15:17:16Z,hint_yes_weak,弱买入暗示: Sell the Past. ₿uy the Future. https://t.co/nJQtTBP4lj,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.9,0.88,0.95,https://x.com/saylor/status/1859617078182867169
1,precursor,2024-11-19,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.735,2024-11-24T13:01:13Z,hint_yes_strong,强买入暗示: We need more green dots on https://t.co/Bx3917zeAK . pic.twitter.com/0VCrBs9oUa,x/oEmbed · 语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,0.94,0.94,0.95,https://x.com/saylor/status/1860670006612095133
1,precursor,2024-11-19,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.735,2024-11-25T13:04:52Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 55,500 BTC for ~$5.4 billion at ~$97,862 per #bitcoin and has achieved BTC Yield of 35.2% ",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.967,0.996,0.999,https://x.com/saylor/status/1861033309934862601
2,precursor,2024-11-25,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-1,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.855,2024-12-01T13:01:10Z,hint_yes_strong,强买入暗示: A possible blue-green imbalance on https://t.co/Bx3917zeAK ? pic.twitter.com/qXMJDEJQzD,x/oEmbed · SaylorTracker 图表暗示：blue-green imbalance，语义是图上缺新增买入点,0.87,0.97,0.97,https://x.com/saylor/status/1863206708366995675
2,precursor,2024-11-25,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-1,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.855,2024-12-02T13:04:16Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 15,400 BTC for ~$1.5 billion at ~$95,976 per #bitcoin and has achieved BTC Yield of 38.7% ",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.9986,0.999,https://x.com/saylor/status/1863569873713955156
3,precursor,2024-12-12,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-Dec-11,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.87,2024-12-15T12:50:09Z,hint_yes_strong,强买入暗示: Is https://t.co/Bx3917zMqi missing a green dot? pic.twitter.com/B3Zzd6M1uV,x/oEmbed · 语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,0.89,0.96,0.9954,https://x.com/saylor/status/1868277366226841996
3,precursor,2024-12-12,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-Dec-11,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.87,2024-12-16T13:03:55Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 15,350 BTC for ~$1.5 billion at ~$100,386 per #bitcoin and has achieved BTC Yield of 46.4%",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.998,0.999,0.999,https://x.com/saylor/status/1868643218956734876
4,precursor,2024-12-16,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-dec-16,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.91,2024-12-22T12:38:52Z,hint_yes_strong,强买入暗示: The orange dots on https://t.co/Bx3917zeAK are motivational. pic.twitter.com/oxtxuJLEpg,x/oEmbed · 语义结构与历史 dots/orange/work/HODL 买入或不买暗示一致，需结合价格曲线看是否已被交易,0.812,0.99,0.9874,https://x.com/saylor/status/1870811240366219711
4,precursor,2024-12-16,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-dec-16,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.91,2024-12-23T13:03:44Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 5,262 BTC for ~$561 million at ~$106,662 per bitcoin and has achieved BTC Yield of 47.4% Q",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.995,0.999,0.999,https://x.com/saylor/status/1871179886036910278
5,precursor,2024-12-23,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-dec-23,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.635,2024-12-23T21:38:20Z,hint_yes_weak,"弱买入暗示: If you are not buying bitcoin at the top, you are leaving money on the table.",x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.54,0.52,0.55,https://x.com/saylor/status/1871309389413724620
5,precursor,2024-12-23,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-dec-23,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.635,2024-12-28T13:36:52Z,hint_yes_weak,弱买入暗示: This is why we need less government and more bitcoin.,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.58,0.58,0.58,https://x.com/saylor/status/1873000162421031279
5,precursor,2024-12-23,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-dec-23,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.635,2024-12-29T13:01:32Z,hint_yes_strong,强买入暗示: Disconcerting blue lines on https://t.co/Bx3917zMqi . pic.twitter.com/xPl4GTKU3E,x/oEmbed · SaylorTracker 图表暗示：disconcerting blue lines，语义是当前图形不应只有蓝线/缺新增点,0.4,0.96,0.94,https://x.com/saylor/status/1873353661537284211
5,precursor,2024-12-23,2024-12-31,will-microstrategy-purchase-more-bitcoin-in-2024-dec-23,Will MicroStrategy purchase more Bitcoin in 2024?,BUY YES,YES,0.635,2024-12-30T13:03:04Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 2,138 BTC for ~$209 million at ~$97,837 per bitcoin and has achieved BTC Yield of 47.8% QT",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.998,0.999,0.999,https://x.com/saylor/status/1873716433919803868
6,precursor,2025-01-01,2025-01-19,will-microstrategy-purchase-more-bitcoin-before-trump-inauguration,MicroStrategy purchases more Bitcoin before inauguration?,BUY YES,YES,0.635,2025-01-01T19:15:43Z,hint_yes_weak,弱买入暗示: Will you end 2025 with more Bitcoin than you started with?,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.94,0.93,0.91,https://x.com/saylor/status/1874534989184041438
6,precursor,2025-01-01,2025-01-19,will-microstrategy-purchase-more-bitcoin-before-trump-inauguration,MicroStrategy purchases more Bitcoin before inauguration?,BUY YES,YES,0.635,2025-01-05T14:13:21Z,hint_yes_strong,强买入暗示: Something about https://t.co/Bx3917zMqi is not quite right. pic.twitter.com/vRTAH2xTCX,x/oEmbed · SaylorTracker 图表暗示：not quite right，随后价格从急跌区间快速回拉，语义是图上未反映新增买入,0.7429,0.96,0.988,https://x.com/saylor/status/1875908450678722991
6,precursor,2025-01-01,2025-01-19,will-microstrategy-purchase-more-bitcoin-before-trump-inauguration,MicroStrategy purchases more Bitcoin before inauguration?,BUY YES,YES,0.635,2025-01-06T13:03:11Z,confirm_yes,"官方确认买入: MicroStrategy has acquired 1,070 BTC for ~$101 million at ~$94,004 per bitcoin and has achieved BTC Yield of 48.0% in",x/oEmbed · Saylor/Strategy 明确披露买入或未买入，是最终确认信号,0.999,0.999,0.999,https://x.com/saylor/status/1876253178100117907
7,precursor,2025-01-06,2025-01-20,microstrategy-purchases-more-bitcoin-before-inauguration-jan-20,MicroStrategy purchases more Bitcoin before inauguration?,SKIP,YES,0.875,2025-01-10T13:07:08Z,hint_yes_weak,弱买入暗示: ₿uy the Future pic.twitter.com/QcYpsPRoMl,x/oEmbed · 泛 buy/stack/HODL 语言，只能作为弱方向或市场情绪，不能单独视为 Strategy 当期买入确认,0.81,0.81,0.81,https://x.com/saylor/status/1877703723180347688
